	327
resolutions	1
resolvd	28
resolvd;	2
resolve	23
resolved	13
resolves	2
resort	12
resort;	1
resorted	1
resounds	1
respect	96
respect;	3
respected	10
respected;	1
respecting	1
respective	4
respectively	1
respects	18
respectst	1
respice	1
respite	4
respite;	1
respites	1
responsive	1
respose	1
rest	314
rest;	20
rested	6
restem	1
resteth	3
restful	2
resting	4
restitution	4
restless	4
restoration	1
restorative	1
restord	10
restore	20
restored	6
restoring	1
restrain	4
restraind	6
restrained	3
restraining	2
restrains	1
restrainst	1
restraint	12
restraint;	1
rests	12
reststhat	1
resty	3
resulting	1
resumd	1
resume	2
resumes	1
resurrectionsgive	1
resurvey	2
retail	2
retaild	1
retails	1
retain	5
retaind	2
retainers	3
retell	1
retention	4
retentive	2
retinue	2
retird	9
retire	30
retire;	2
retired	3
retirement	5
retires	11
retiring	1
retold	2
retort	4
retourne	1
retract	1
retreat	18
retreat;	2
retrograde	2
return	167
return;	8
returnd	45
returnd;	3
returned	7
returnest	1
returneth	2
returning	3
returning;	1
returns	14
reunited	1
revania	1
reveal	3
reveald	3
revel	13
revel;	1
reveler	1
revelld	3
reveller	1
revellers	2
revelling	3
revelry	1
revels	14
revels;	1
revengd	31
revengd;	1
revenge	126
revenge;	4
revenged	8
revengeful	7
revengeful;	1
revengement	1
revenger	1
revengers	1
revenges	14
revenging	2
revenue	17
revenues	7
reverberate	2
reverbrate	1
reverencd	2
reverence	40
reverence;	2
reverend	53
reverendst	1
reverent	8
reverently	3
reversd	1
reverse	4
reversion	4
reverted	2
review	2
reviewest	1
revild	2
revile	1
revivd	6
revive	8
revive;	1
revives	2
reviving	1
revokd	1
revoke	2
revokement	1
revolt	37
revolt;	4
revolted	11
revolting	4
revolts	5
revolution	4
revolutions	1
revolve	4
reward	30
reward;	3
rewarded	2
rewarder	1
rewarding	1
rewards	10
reword;	1
reworded	1
rhapsody	1
rhetoric	8
rheum	11
rheum;	3
rheumatic	4
rheums	1
rheumy	1
rhinoceros	1
rhubarb	1
rhymd	1
rhyme	31
rhyme;	3
rhymers	2
rhymes	8
rhyming	2
rib	2
ribald	1
riband	2
ribands	1
ribaudred	1
ribbd	1
ribbon	2
ribbons	3
ribbreaking	1
ribs	17
rice	2
rich	149
rich;	6
richd	1
richer	15
riches	20
riches;	1
richest	7
richleft	1
richly	13
richproud	1
rid	28
riddance	2
ridden	2
riddle	7
riddle;	1
riddlelike	1
riddles	2
riddling	2
ride	50
rider	8
riders	1
rides	8
ridest	1
ridge	1
ridges	2
ridiculous	15
riding	7
ridingrobes	1
ridingrods	1
rids	2
rifle	1
rift	3
rifted	1
rig	1
riggd	3
riggish	1
right	306
right;	17
righteous	5
righteous;	1
righteously	1
rightful	13
rightfully	1
righthand	1
righthand;	1
rightly	23
rights	18
rights;	3
rigol	1
rigorous	3
rigorously	1
rigour	8
rigst	1
rim	1
rind	2
ring	146
ring;	8
ringcarrier	1
ringd	1
ringing	1
ringleader	1
ringlets	2
rings	16
rings;	1
riot	10
riot;	4
rioter;	1
rioting	1
riotous	9
riots	6
rip	2
ripe	36
ripe;	3
ripely	1
ripen	3
ripened	4
ripeness	1
ripening	1
ripens	3
riper	3
ripest	2
riping	1
rippd	3
ripping	1
rise	57
rise;	8
risen	4
rises	14
rises;	1
riseth	5
rising	16
rite	8
rite;	1
rites	21
rivage	1
rival	6
rivalhating	1
rivality	1
rivalld	1
rivals	8
rive	5
rived	2
rivelled	1
river	22
river;	1
rivers	10
rivers;	1
rivet	2
riveted	3
rivets	2
road	16
road;	1
roads	1
roads;	1
roadway	1
roam	1
roaming	2
roan	4
roar	27
roar;	1
roard	12
roared	2
roarers	1
roaring	22
roaring;	1
roars	5
roars;	1
roast	3
roasted	4
rob	33
robbd	21
robbed	1
robber	1
robbers	8
robbery	8
robbing	4
robbing;	1
robbry	1
robbst	1
robe	19
robe;	1
robed	1
robes	17
robes;	1
robin	1
robs	6
robustious	2
rock	37
rock;	1
rocks	18
rocks;	1
rocky	5
rod	15
rode	13
rods	2
rods;	1
roe	3
roes	1
rogue	76
rogue;	1
roguery	1
rogues	21
rogues;	1
roguish	1
roi	2
roisting	1
roll	8
rolld	1
rolled	1
rolling	4
rolls	3
romage	1
rondure	1
ronyon	2
rood	5
roof	15
roof;	1
roofd	1
roofs	5
rook	4
rookd	1
rooks	2
rooky	1
room	64
rooms	3
root	40
root;	2
rooted	6
rootedly	1
rooteth	1
rooting	1
roots	8
roots;	1
rope	9
rope;	1
ropemaker	1
ropery	1
ropes	4
ropesend	3
ropetricks	1
roping	1
rosd	1
rose	54
rose;	3
rosecheekd	1
rosed	1
roselippd	1
rosemary	5
rosemary;	1
roses	25
roses;	2
rosewater	1
rosy	3
rot	16
rot;	2
rote	4
roted	1
rothers	1
rots	1
rotted	2
rotten	34
rotten;	1
rottenness	2
rotting	1
rotundity	1
rough	60
rough;	3
roughcast	3
rougher	2
roughest	2
roughly	5
roughness	1
round	70
round;	1
rounded	4
roundel	1
rounder	1
roundest	1
rounding	1
roundly	9
rounds	5
roundure	1
roundwombd	1
rousd	6
rouse	24
rouse;	1
roused	1
rout	9
rout;	1
routed	1
routs	2
rove	1
rover	1
row	2
rowel	1
rowelhead;	1
royal	202
royalize	1
royally	7
royally;	1
royalties	6
royalty	24
royalty;	1
royaltys	1
roynish	1
rt	3
rub	11
rubbd	3
rubbing	1
rubbing;	1
rubbish	2
rubies	4
rubious;	1
rubs	5
ruby	2
rudder	2
ruddiness	1
ruddock	1
ruddy	1
rude	67
rude;	1
rudegrowing	1
rudely	6
rudeness	5
rudeness;	1
ruder	2
rudesby	1
rudest	1
rudiments	2
rudst	2
rue	16
rue;	1
rued	1
ruff	3
ruffian	14
ruffiand	1
ruffians	3
ruffle	5
ruffling	1
ruffs	1
rugged	5
rugheaded	1
ruin	36
ruinate	2
ruind	10
ruined	2
ruining	1
ruinous	6
ruins	6
ruld	24
ruld;	2
rule	46
rule;	2
ruled	5
ruler	6
rulers	1
rules	8
ruminaies	1
ruminate	8
ruminated	2
ruminates	1
rumination	1
rumor	3
rumour	8
rumourd	2
rumourer	1
rumours	4
rump	1
rumpfed	1
run	165
run;	3
runagate	3
runagates	1
runagates;	1
runaway	3
runaways	3
rung	6
runner	1
runners	1
running	27
runnst	1
runs	36
runsay	1
runst	4
rupture	1
ruptures	1
rural	2
rush	19
rushcandle	1
rushd	5
rushes	9
rushes;	2
rushing	5
rushling	1
rushy	1
russet	2
russetpated	1
rust	8
rusted	1
rustic	3
rustically	1
rustics	1
rustle	1
rustling	2
rusts	1
rusty	6
ruth	4
ruthful	2
ruthless	11
ruttime	1
ruttish	1
rye	2
ryestraw	1
s	40
s;	1
sa	5
sable	3
sablecoloured	1
sables	2
sack	50
sack;	5
sackbuts	1
sackcloth	1
sacked	1
sacks	3
sacrament	8
sacred	46
sacrificd	2
sacrifice	19
sacrifice;	2
sacrificers	1
sacrifices	6
sacrificial	1
sacrificing	2
sacrilegious	2
sacring	1
sad	148
sad;	4
sadder	3
saddest	2
saddle	5
saddle;	1
saddler	2
saddles	1
sadeyd	1
sadfacd	1
sadly	18
sadness	23
sadtuned	1
safd	1
safe	71
safe;	4
safeguard	7
safely	21
safely;	1
safer	14
safest	7
safeties	1
safety	72
safety;	1
safetythat	1
saffron	4
sag	1
sage	4
said	364
said;	9
saidI	1
saidst	3
sail	41
sail;	5
saild	3
sailing	2
sailmaker	1
sailor	4
sailors	10
sailors;	1
sails	14
sails;	3
sain	1
saint	20
saint;	2
sainted	4
saintlike	3
saints	12
saintseducing	1
saith	7
sake	163
sake;	10
sakes	3
salad	1
salamander	1
salary	1
sale	7
sale;	1
salework	1
sall	6
sallet	5
salletherbs	1
sallets	3
sallies	1
sallow	1
sally	3
salmons	2
salt	42
salt;	1
saltbutter	1
salter	1
saltness	1
saltpetre	1
saltsea	1
saltwater	2
salutation	6
salutations	1
salutations;	2
salute	17
saluted	1
salutes	2
saluteth	2
salvation	5
salvation;	1
salvd	1
salve	11
salving	1
same	210
same;	8
sameHigh	1
sameyour	1
sampire	1
sample	1
sampler	2
sancta	1
sanctified	7
sanctifies	1
sanctify	4
sanctimonies	1
sanctimonious	2
sanctimony	3
sanctities	1
sanctity	5
sanctuarize;	1
sanctuary	12
sanctuary;	1
sand	6
sand;	1
sandal	1
sandbag	2
sandblind	1
sandblind;	1
sanded;	1
sands	15
sandy	6
sandybottomd	1
sang	1
sanguine	4
sanguis	1
sanity	1
sans	11
sap	11
sapconsuming	1
sapient	1
sapit	1
sapless	2
sapling	1
sapling;	1
sapphire	2
sapphires	1
sarcenet	2
sat	29
satchel	1
sate	2
sated	1
satiate	1
satiety	3
satin	3
satire	4
satirical	1
satisfaction	31
satisfaction;	2
satisfied	43
satisfied;	4
satisfiedwhether	1
satisfies;	1
satisfy	22
satisfying	3
satyr	2
satyr;	1
saucd	3
sauce	14
sauced	1
saucers	1
sauces	1
saucily	2
sauciness	4
sauciness;	2
saucy	32
sauf	1
savage	31
savage;	1
savageness	3
savagery	1
savagery;	1
savages	4
savagewild	1
savd	19
save	153
save;	1
saved	20
saves	6
saving	11
savory	1
savour	8
savouring	1
savours	8
savoury	1
savoury;	1
saw	241
saw;	1
sawed	1
sawest	2
sawn	1
sawpit	1
saws	4
sawst	7
sawt	6
say	1432
say;	38
sayboth	1
saybut	1
sayest	12
saying	50
sayings	5
saypray	1
says	231
says;	2
sayst	64
sayst;	1
sayt	2
scab	4
scabbard	4
scabs	1
scaffold	2
scaffoldage	1
scald	10
scalded	1
scalding	2
scaldst	1
scale	13
scaled	2
scales	6
scalingladders	1
scalingladders;	1
scall	1
scalp	2
scalps	1
scaly	1
scamble	1
scambling	2
scamels	1
scan	1
scandal	16
scandald	1
scandalizd	2
scandalous	2
scandy	1
scannd	3
scanning	1
scant	8
scanted	5
scanter	1
scanting	1
scantling	1
scants	1
scapd	9
scape	34
scape;	2
scaped	4
scaped;	1
scapes	5
scapeth	1
scar	10
scarce	65
scarcebearded	1
scarcecold	1
scarcely	16
scarcity	2
scard	6
scare	3
scarecrow	2
scarecrows	1
scarf	8
scarf;	1
scarfd	1
scarfed	1
scarfs	5
scarlet	10
scarlet;	1
scarrd	3
scarre	1
scars	15
scath	1
scathe	4
scathful	1
scatter	4
scatterd	4
scatterd;	1
scattered	7
scattering	1
scatters	3
scattred	5
scelera	1
scelerisque	1
scene	34
scenes	3
scent	2
scent;	1
sceptre	28
sceptre;	1
sceptred	3
sceptres	8
schedule	5
schedules	2
scholar	13
scholar;	3
scholarI	1
scholarly	1
scholars	4
school	22
school;	2
schoolboy	4
schoolboys	4
schoold	4
schooldays	3
schoolfellows	1
schooling	1
schoolmaids	1
schoolmaster	11
schoolmaster;	1
schoolmasters	2
schools	4
sciatica	2
sciaticas	1
science	2
sciences	2
scimitar	2
scimitars	1
scion	2
scions	1
scissors	1
scoff	1
scoffer	1
scoffs	3
scold	7
scold;	1
scolding	6
scolds	2
sconce	6
scope	26
scope;	3
scopes	1
scorch	2
scorchd	1
scorched	1
score	29
scored	1
scores	2
scoring	1
scorn	90
scorn;	3
scornd	10
scorned	3
scornful	6
scornfully	2
scornfully;	1
scorning	2
scorns	20
scornst	1
scorpion	1
scorpions	2
scot	1
scotchd	2
scotches	1
scoundrels	1
scour	7
scourd	1
scoured	2
scourgd	2
scourge	17
scouring	3
scout	5
scouts	5
scowl	2
scrambles	1
scrapd	3
scrape	3
scraping	1
scraps	4
scratch	14
scratchd	6
scratchd;	1
scratching	1
scream	1
screams	1
screeching	1
screechowl	3
screechowls	2
screen	1
screend	1
screens	1
screw	1
screws	1
scribbld	1
scribbled	1
scribe	2
scribes	1
scrimers	1
scrip	2
scrippage	1
scriptures	1
scrivener	1
scroll	13
scrolls	1
scrowl	1
scroyles	1
scrubbed	2
scruple	21
scruple;	1
scruples	4
scrupulous	2
scuffles	1
scuffling	1
scullion	2
sculls	1
scum	4
scurril	1
scurrility	2
scurrilous	2
scurvy	24
scuse	2
scut	1
scutcheon	2
scutcheons	1
scythe	6
scythed	1
scythes	1
se	2
sea	179
sea;	19
seabanks	1
seaboy	1
seacap	1
seachange	1
seacoal	2
seacoast	4
seafaring	1
seafight	3
seafight;	1
seagown	1
seal	59
seal;	2
seald	22
seald;	1
sealdup	2
sealed	7
sealike	1
sealing	2
sealingday	1
sealring	2
seals	7
seals;	1
seam	1
seamaid	1
seamaids	1
seamarge	1
seamark	2
seamen	1
seamonster	2
seamy	1
seaport	1
sear	5
searce	1
search	34
search;	1
searchd	6
searched	1
searchers	1
searches	1
searcheth	1
searching	5
seard	1
seared	1
seas	43
seas;	3
seasalt	1
seashore	1
seasick	2
seaside	6
seaside;	1
season	34
season;	5
seasond	5
seasoned	2
seasons	13
seasorrow	1
seastorm	1
seaswallowd	1
seat	56
seat;	2
seated	11
seats	6
seawalled	1
seawater	1
seawing	1
second	100
secondarily	1
secondary	2
seconded	3
seconds	5
seconds;	1
secrecy	13
secrecy;	1
secret	63
secretary	1
secretary;	4
secretfalse	1
secretly	12
secrets	24
secretst	1
sect	3
sect;	1
sectary	1
sectary;	1
sects	3
secundo	1
secure	25
secure;	3
securely	6
securing	1
security	13
security;	1
sedgd	1
sedge	1
sedges	3
sedgy	1
sedition	3
seditious	1
seducd	3
seduce	3
seduced	4
seducer	1
see	1291
see;	19
seed	4
seed;	3
seeded	1
seedness	1
seeds	5
seedsman	1
seein	1
seeing	38
seeing;	1
seek	201
seek;	2
seeking	16
seeks	24
seekst	6
seekt	1
seel	3
seeling	1
seem	165
seem;	2
seemd	31
seemed	5
seemers	1
seemest	1
seemeth	8
seeming	53
seemingly	1
seemingvirtuous	1
seemly	2
seems	105
seems;	1
seemst	5
seen	258
seen;	7
seent	2
sees	43
seest	45
seet	14
seet;	2
seethe	1
seethes	1
seething	1
seeting	1
seeto	1
segregation	1
seigneur	4
seigneurs	1
seizd	14
seize	25
seized	1
seizes	2
seizeth	1
seizing	1
seizure	3
seld	1
seldom	26
select	2
selected	1
self	136
self;	1
selfabuse	1
selfadmission	1
selfaffairs	1
selfaffected	1
selfaffrighted	1
selfapplied	1
selfassumption	1
selfblood	1
selfborn	1
selfborne	1
selfbounty	1
selfbreath	1
selfcharity	1
selfcomparisons	1
selfcoverd	1
selfdanger	1
selfdoing	1
selfdrawing	1
selfendeared	1
selfexample	1
selfexplication	1
selffigurd	1
selfglorious	1
selfgracious	1
selfkilled	1
selflove	5
selflove;	1
selfloving	1
selfmisusd	1
selfneglecting	1
selfoffences	1
selfplace	1
selfreproving	1
selfs	4
selfsame	24
selfslaughter	2
selfsovereignty	1
selfsubdud;	1
selfsubstantial	1
selfunable	1
selfwilld	3
selfwilled	1
selfwrong	1
sell	36
sell;	1
sellers	1
selling	3
sells	1
selves	4
selves;	1
semblable	5
semblance	18
semblance;	1
semblances	2
semblative	1
semicircle	1
semicircled	1
semper	1
senator	4
senators	29
senators;	1
send	217
send;	1
senda	1
sender	3
sender;	1
sendeth	1
sending	12
sends	37
sendst	1
senior;	1
seniorjunior	1
seniory	1
senis	3
sennet	9
sennight	1
sennights	2
sense	118
sense;	5
sensebehold	1
senseless	21
senseless;	1
senselessobstinate	1
senses	34
senses;	1
sensible	22
sensibly	4
sensual	4
sensuality	2
sent	253
sent;	1
sentencd	4
sentencd;	2
sentence	39
sentences	5
sentences;	1
sententious	2
sententious;	1
sentinel	2
sentinels	4
sentst	1
separable	1
separate	5
separated	4
separates	1
separation	5
septentrion	1
sepulchre	12
sepulchres	2
sepulchres;	1
sequel	7
sequel;	2
sequence	4
sequent	9
sequester	1
sequestration	3
sequestred	2
sequestring	1
sere	2
sere;	1
serenissima	1
serge	1
sergeant	7
serious	23
seriously	5
sermon	2
serpent	23
serpentine	1
serpentlike	1
serpents	14
serpigo	2
servant	132
servant;	6
servanted	1
servantmaid	1
servantmonster	1
servants	56
servants;	5
servd	43
serve	178
serve;	5
served	9
served;	1
serves	34
serveth	1
service	205
service;	15
serviceable	5
services	32
services;	2
servile	7
servility;	1
serving	4
servingcreature	1
servingcreatures	1
servingman	8
servingmen	3
serviteur	1
serviteur;	1
servitor	3
servitors	3
servitude	3
servst	3
sessa	1
session	7
sessions	3
set	411
set;	5
sets	24
setst	3
setter	2
setterup	1
setting	19
settle	3
settled	16
settling	1
seven	61
seven;	1
sevenfold	1
sevennight;	1
seventeen	6
seventh	7
seventy	2
seventyfive	1
sever	1
several	79
severally	24
severals	2
severd	10
severe	6
severe;	1
severed	1
severely	2
severest	1
severing	2
severity	4
severs	1
sevnight	1
sevral	1
sew	4
sewd	4
sewer	1
sewing	2
sex	16
sex;	2
sexes	1
sexton	6
sextons	2
shackle	1
shackles	2
shade	24
shadealas	1
shades	3
shadewhy	1
shadow	66
shadow;	2
shadowed	2
shadowing	1
shadows	30
shadows;	1
shadowy	2
shady	3
shaft	9
shafts	1
shageard	1
shaghaird	1
shakd	3
shakd;	1
shake	88
shake;	2
shaken	3
shaken;	1
shakes	11
shaking	8
shaks10atxt	1
shaks12txt	1
shaks12zip*****	1
shaks13txt	1
shakst	2
shales	1
shall	3116
shall;	7
shallenge;	1
shallow	41
shallowa	1
shallowest	2
shallowhearted	1
shallowly	1
shallowrooted;	1
shallows	2
shalls	2
shallt	2
shalt	287
shalt;	1
shambles	2
shamd	11
shamd;	1
shame	280
shame;	10
shamed	4
shamefacd	1
shameful	15
shamefully	5
shameless	6
shamelessdesperate	1
shameproof	1
shames	20
shamest	2
shaming	1
shamst	1
shank;	1
shanks	3
shapd	5
shape	83
shape;	4
shapeless	4
shapes	25
shapes;	3
shaping	1
shard	2
shardborne	1
sharded	1
shards	1
share	25
shares	4
sharing	3
shark	1
sharp	59
sharp;	1
sharpened	1
sharpens	1
sharper	6
sharpest	2
sharpground	1
sharplooking	1
sharply	4
sharpness	2
sharpness;	1
sharppointed	1
sharpprovided	1
sharpquilld	1
sharps	1
sharpst	2
shatter	1
shavd	1
shave	1
shaven	1
shavet	1
she	1730
she;	11
sheLeonatos	1
sheaf	2
sheald	1
sheangel	1
shear	2
shearers	2
shearing	1
shearman	1
shears	4
sheath	4
sheath;	1
sheathd	2
sheathe	7
sheathing;	1
sheaved	1
sheaves	1
shebear	1
shebeggar	1
shed	46
shed;	1
shedding	3
sheds	3
sheen	2
sheep	37
sheep;	4
sheepbiter	1
sheepbiting	1
sheepcote	3
sheepcotes	1
sheephook	1
sheeps	5
sheepshearing	5
sheepskins	1
sheepwhistling	1
sheer	2
sheet	11
sheet;	1
sheeted	1
sheets	17
sheets;	2
shefoxes	1
shelamb	1
shelf	1
shell	33
shelter	12
shelter;	1
shelters	1
sheltred	1
shelves	2
shelving	1
shelvy	1
shent	5
shepherd	48
shepherd;	6
shepherdes	1
shepherdess	4
shepherds	20
shepherds;	2
sheriff	8
sheriffs	1
sherris	4
sherrissack	1
shes	99
sheweth	1
shield	19
shield;	1
shielded	2
shields	2
shift	26
shifted	4
shifting	2
shifts	6
shilling	4
shilling;	1
shillings	10
shin	8
shine	40
shine;	3
shines	28
shineth	1
shining	11
shins	4
shinst	1
shiny	1
ship	46
ship;	4
shipboard	2
shipboys	3
shipmans	1
shipmen	1
shippd	8
shipped	1
shipping	4
shipping;	1
ships	22
shipside	1
shipt	1
shiptire	1
shipwreck	2
shipwreckd	1
shipwright	2
shipwrights	1
shire	1
shirt	12
shirt;	2
shirts	6
shive	1
shiver	1
shiverd	1
shivering	2
shivers	2
shoal	1
shoals	1
shock	6
shocks	3
shoe	14
shoe;	1
shoeing	1
shoeinghorn	1
shoemaker	1
shoes	19
shoes;	1
shoetie	1
shog	2
shone	4
shook	28
shoon	2
shoot	29
shooter	3
shooting	5
shoots	5
shop	13
shops	2
shops;	1
shore	43
shore;	5
shores	17
shorn	2
short	87
short;	4
shortarmd	1
shorten	3
shortened	1
shortens	3
shorter	5
shorter;	1
shortgrassd	1
shortleggd	1
shortlivd	2
shortly	44
shortned	2
shortness	4
shortning	1
shortnumbered	1
shortst	1
shortwinded	2
shot	41
shot;	2
shotfree	1
shotten	1
should	1420
should;	5
shoulder	27
shoulderbone;	1
shoulderclapper	1
shouldering	1
shoulders	25
shoulders;	7
shouldershotten	1
shouldred	1
shouldst	73
shout	16
shouted	2
shouting	4
shouts	9
shovd	2
shove	1
shovegroat	1
shovel	1
shovelboards	1
shovels	1
show	368
show;	5
showd	48
showdst	1
showed	5
shower	3
showers	9
showest	2
showing	8
shown	28
shown;	2
showplace	1
showr	7
showring	2
showrs	5
showrs;	1
shows	91
shows;	3
showst	3
showt	1
shreds	2
shrew	13
shrewd	25
shrewd;	1
shrewdly	8
shrewdly;	2
shrewish	1
shrewishly;	1
shrewishness;	1
shrews	1
shriek	5
shriek;	1
shriekd	4
shrieking	3
shrieks	3
shrieve	1
shrieves	1
shrift	8
shrift;	2
shrill	4
shriller	1
shrillgorgd	1
shrills	1
shrillshrieking	1
shrillsounding	1
shrilltongud	2
shrillvoicd	1
shrilly	2
shrimp	2
shrine	6
shrink	11
shrinking	3
shrinks	3
shrivd	1
shrive	2
shriver	1
shrives	1
shriving	2
shroud	12
shroud;	1
shrouded	3
shrouding	1
shrouds	3
shrow	1
shrows	1
shrub	2
shrubs	2
shrug	3
shrugs	1
shrunk	6
shudders	1
shuddring	1
shuffld	1
shuffle	3
shuffled	1
shuffling	2
shuffling;	1
shun	20
shunless	1
shunnd	7
shunned	1
shunning	2
shuns	4
shut	51
shuts	4
shuttle	1
shy	2
si	1
sibyl	1
sibyls	1
sick	147
sick;	11
sickd	1
sicken	7
sickend	1
sickens	2
sicker	1
sickfalln	1
sicklemen	1
sickles	1
sicklied	1
sickliness	1
sickly	19
sickness	50
sickness;	1
sicles	1
side	155
side;	17
sided	1
sidepiercing	1
sides	44
sides;	2
sidesleeves	1
siege	30
siege;	1
sieges	1
sieve	4
sift	3
sifted	1
sigh	46
sigh;	4
sighd	7
sighd;	1
sighed	3
sighing	9
sighs	43
sighs;	7
sighst	1
sight	187
sight;	11
sighted	1
sightholes	1
sightless	5
sightly	1
sightoutrunning	1
sights	18
sights;	2
sign	49
sign;	1
signal	11
signd	2
signet	3
signieur	1
significant	1
significants	1
signified	3
signifies	3
signify	25
signior	21
signior;	4
signiories	1
signiors	3
signiory	1
signor	1
signories	3
signs	30
signs;	2
signum	1
silencd	3
silence	59
silence;	3
silenced	1
silencing	1
silent	35
silent;	1
silently	1
silk	18
silk;	1
silken	16
silkencoated	1
silkman	1
silks	4
silliest	1
silliness	1
silling	1
silly	14
sillycheat	1
sillyducking	1
sillystately	1
silver	57
silver;	1
silverbright	1
silverd	2
silvered	1
silverly	1
silvershedding	1
silversweet	1
silverwhite	1
simile	1
similes	5
simple	66
simple;	1
simpleanswerd	1
simpleness	4
simpleness;	1
simpler	2
simples	5
simplicity	12
simplicity;	1
simply	9
simply;	1
simpring	2
simular	2
simulation	1
sin	139
sin;	10
sinabsolver	1
since	284
since;	1
sincere	4
sincerely	3
sincerity	6
sinconceiving	1
sinew	4
sinewed	1
sinews	21
sinews;	1
sinewy	4
sinful	11
sinfully	1
sing	115
sing;	7
singd	2
singe	1
singer	3
singerhe	1
singes	1
singeth	1
singing	14
singing;	3
singingman	1
single	56
single;	1
singled	3
singleness	2
singlesold	1
singly	5
sings	43
singst	2
singular	7
singularities;	1
singularity	3
singuled	1
sinister	6
sink	28
sinkapace	1
sinking	3
sinking;	1
sinkingripe	1
sinks	5
sinnd	5
sinner	4
sinners	4
sinning	1
sins	40
sinyet	1
sip	3
sipping	1
sir	1540
sir;	215
sirI	1
sirNay	1
sirSpare	1
sirTheres	1
sirThick	1
sirWhy	1
sire	17
sire;	1
siren	2
sirrah	70
sirrah;	6
sirrahbut	1
sirreverence	1
sirs	23
sirs;	2
sister	166
sister;	11
sistercousin	1
sisterhood	5
sisterly	1
sisters	37
sisters;	1
sistring	1
sit	176
sit;	7
sith	12
sithence	2
sits	47
sitst	2
sitting	22
situate	2
situation	2
situations	1
six	50
sixandtwenty	1
sixgated	1
sixorseventimeshonourd	1
sixpence	11
sixpenny	1
sixteen	11
sixth	12
sixty	3
sizd	1
size	11
size;	2
sizes	2
sizes;	1
sizzle	1
skainsmates	1
skein	2
skies	7
skilful	6
skilfully	1
skill	47
skillGood	1
skilld	2
skilld;	1
skilless	4
skillet	1
skillful	1
skills	3
skim	1
skimbleskamble	1
skin	21
skincoat	1
skinny	1
skins	7
skip	6
skippd	1
skipping	5
skirmish	6
skirmishes	1
skirr	2
skirted	1
skirts	6
skittish	3
skull	16
skulls	3
skulls;	1
sky	38
sky;	1
skyaspiring	1
skyey	1
skyish	1
slab	1
slack	9
slack;	1
slackly	2
slackness	2
slain	108
slain;	15
slainno	1
slainthe	1
slake	1
slander	42
slander;	1
slanderd	4
slandered	3
slanderer	4
slanderers	2
slanderous	6
slanders	17
slanders;	1
slandred	2
slandrous	4
slash	1
slash;	1
slaughter	24
slaughter;	2
slaughterd	7
slaughtered	6
slaughterer	1
slaughterhouse	4
slaughterhouse;	2
slaughterman	3
slaughtermen	2
slaughterous	1
slaughters	3
slaughters;	1
slaughtred	7
slaughtring	3
slave	120
slave;	4
slavelike	1
slavery	5
slaves	36
slaves;	1
slavish	5
slay	25
slayeth	1
slays	2
sleave	1
sledded	1
sleek	3
sleekly	1
sleep	223
sleep;	12
sleepdie	1
sleeper	1
sleepers	6
sleepest	1
sleeping	43
sleeps	35
sleeps;	1
sleepsand	1
sleepst	3
sleepst;	1
sleepy	10
sleeve	17
sleeve;	3
sleevehand	1
sleeveless	1
sleeves	6
sleeves;	1
sleid	1
sleided	1
sleight	1
sleights	1
slender	10
slenderer	1
slenderly	1
slept	34
slept;	2
slew	36
slewest	1
slewst	1
slice	1
slid	1
slide	5
slides	2
sliding	1
slight	29
slighted	3
slightest	3
slightly	9
slightness	1
slights	1
slily	6
slime	5
slimy	2
slings	1
slings;	1
slink	2
slip	20
slip;	1
slip;we	1
slippd	8
slipper	2
slipper;	1
slipperd	1
slippers	2
slippery	8
slippry	3
slips	8
slipshod	1
slish	1
slit	1
sliver	3
slobbry	1
slomber	1
slop	2
slope	1
slops	2
sloth	6
slothful	1
slough	5
slovenly	1
slovenry	1
slow	48
slow;	1
slowd	1
slower	2
slower;	1
slowgaited	1
slowly	4
slowly;	1
slowness	2
slowwingd	1
slubber	1
slug	2
slugabed	1
sluggard	1
sluggardizd	1
sluggish	1
sluicd	1
slumber	16
slumber;	1
slumbers	5
slumbery	1
slumbred	1
slunk	1
slut	2
sluts	2
sluttery	1
sluttish	4
sluttishness	1
sly	8
smack	9
smacking	1
smacks	1
small	82
small;	1
smaller	4
smallest	17
smallknowing	1
smallness	1
smallst	1
smart	8
smart;	1
smarting	1
smartly	1
smatch	1
smear	1
smeard	3
smeard;	1
smell	45
smell;	2
smelld	1
smelling	5
smells	10
smellst	1
smellt	1
smelt	7
smild	8
smildst	1
smile	65
smile;	4
smiled	2
smiles	38
smiles;	5
smilest	1
smilets	1
smiling	28
smiling;	2
smilingly	2
smilst	1
smirch	1
smirchd	2
smirched	1
smit	1
smite	2
smites	2
smith	2
smiths	1
smock	7
smock;	1
smocks	1
smocks;	1
smokd	1
smoke	19
smoked	1
smokes	3
smoking	4
smoky	5
smooth	33
smooth;	2
smoothd	2
smoothed	2
smoothfacd	3
smoothing	2
smoothly	2
smoothness	2
smoothpates	1
smooths	1
smoothst	1
smoothtongue	1
smote	5
smother	4
smother;	2
smotherd	6
smothered	2
smothering	1
smug	3
smutchd	1
snaffle	1
snail	6
snail;	1
snailpacd	2
snails	1
snake	10
snake;	1
snakes	5
snaky	1
snap	3
snappd	1
snapperup	1
snard	2
snare	3
snares	5
snarl	1
snarleth	1
snarling	1
snatch	7
snatch;	1
snatchd	7
snatchers	1
snatches	5
snatching	1
sneakcup	1
sneaking	3
sneap	1
